pos	muHat	SigmaHat
987	chrX:6995417	0.495102563385391	0.105308530314697
988	chrX:6995438	0.547504258833389	0.0352108320860757
989	chrX:7023678	0.457027475465344	0.0446253466036108
992	chrX:70324157	0.537360248477534	0.331597975522012
999	chrX:70349947	0.529894644979478	0.262097370693167
1015	chrX:71349774	0.424684268572279	0.0868790577522061
1021	chrX:71360100	0.37074383262651	0.241544420530969
1031	chrX:71380152	0.364470100415991	0.0917373371002236
1034	chrX:71416721	0.493204550324461	0.0754051133915841
1038	chrX:71493691	0.444930480122305	0.0296711565565813
1040	chrX:71549512	0.486788394937223	0.057728518352201
1043	chrX:71791912	0.61449423079578	0.142490890754619
1049	chrX:73042316	0.504922050364572	0.0617580384470004
1051	chrX:73042607	0.501123865375272	0.0745493835886219
1053	chrX:73043817	0.483367964178208	0.217825432940489
1055	chrX:73045740	0.493305363638089	0.198825261073827
1058	chrX:73045809	0.373158262357643	0.153475482576479
1061	chrX:73046557	0.553660230832857	0.0433641399510756
1066	chrX:73062694	0.491088677398381	0.0315849779354278
1069	chrX:73066439	0.499739367200947	0.228706042123065
1077	chrX:73803129	0.0519761742719076	2.23038113396697e-16
1088	chrX:74961837	0.0618362259692516	2.22044604925031e-16
1095	chrX:76937963	0.403641385426727	0.187201721928229
1101	chrX:77268502	0.537942907791418	0.109756226844163
1106	chrX:77528317	0.461321694355762	0.127819872756498
1111	chrX:78426488	0.418850017541309	0.146416843080387
1112	chrX:78426988	0.445592304917866	0.177389846315275
1120	chrX:85219021	0.602050884507697	0.0132316598350672
1121	Global	0.470920049744686	0.251307605085201
